Base,k,n,N,pVal,AvgCompetitiveRatio,StdDev,BatchSize
FirstFitBatchDegree(size=50),2,800,100,0.1,2.925,1.6678953804120928,50.0
FirstFitBatchDegree(size=50),2,900,100,0.1,2.95,1.7471405209656148,50.0
FirstFitBatchDegree(size=50),2,1000,100,0.1,3.23,1.9344508264621252,50.0
FirstFitBatchDegree(size=50),3,50,100,0.1,1.68,0.4025474437186808,50.0
FirstFitBatchDegree(size=50),3,100,100,0.1,2.48,0.4674279504788827,50.0
FirstFitBatchDegree(size=50),3,150,100,0.1,3.0033333333333334,0.5153100469081158,50.0
FirstFitBatchDegree(size=50),3,200,100,0.1,3.526666666666667,0.6979016167531542,50.0
FirstFitBatchDegree(size=50),3,300,100,0.1,4.416666666666667,0.6555320146432378,50.0
FirstFitBatchDegree(size=50),3,400,100,0.1,4.78,1.1364858116140295,50.0
FirstFitBatchDegree(size=50),3,500,100,0.1,5.33,1.0148836824429135,50.0
FirstFitBatchDegree(size=50),3,600,100,0.1,5.593333333333334,1.4395832730342486,50.0
FirstFitBatchDegree(size=50),3,700,100,0.1,6.04,1.328558115652705,50.0
FirstFitBatchDegree(size=50),3,800,100,0.1,6.486666666666666,1.2652799426740842,50.0
FirstFitBatchDegree(size=50),3,900,100,0.1,6.6866666666666665,1.669876908304588,50.0
FirstFitBatchDegree(size=50),3,1000,100,0.1,7.08,1.574180562846729,50.0
FirstFitBatchDegree(size=50),4,50,100,0.1,1.6475,0.1873999733191016,50.0
FirstFitBatchDegree(size=50),4,100,100,0.1,2.3225,0.1945989465541887,50.0
FirstFitBatchDegree(size=50),4,150,100,0.1,2.8825,0.1852532051004786,50.0
FirstFitBatchDegree(size=50),4,200,100,0.1,3.405,0.1929378138157473,50.0
FirstFitBatchDegree(size=50),4,300,100,0.1,4.305,0.248947785690092,50.0
FirstFitBatchDegree(size=50),4,400,100,0.1,5.0225,0.3164154705446622,50.0
FirstFitBatchDegree(size=50),4,500,100,0.1,5.74,0.4241462012089699,50.0
FirstFitBatchDegree(size=50),4,600,100,0.1,6.4175,0.4664426545675256,50.0
FirstFitBatchDegree(size=50),4,700,100,0.1,6.885,0.5378429138698398,50.0
FirstFitBatchDegree(size=50),4,800,100,0.1,7.4025,0.6392329387633275,50.0
FirstFitBatchDegree(size=50),4,900,100,0.1,8.0375,0.6367642813475015,50.0
FirstFitBatchDegree(size=50),4,1000,100,0.1,8.32,0.8389576866564845,50.0
FirstFitBatchDegree(size=10),2,50,100,0.2,1.52,0.5784461945591828,10.0
FirstFitBatchDegree(size=10),2,100,100,0.2,1.785,0.8522176951929595,10.0
FirstFitBatchDegree(size=10),2,150,100,0.2,1.745,0.8985961273008025,10.0
FirstFitBatchDegree(size=10),2,200,100,0.2,1.78,0.7527283706623525,10.0
FirstFitBatchDegree(size=10),2,300,100,0.2,1.79,0.8694250974063263,10.0
FirstFitBatchDegree(size=10),2,400,100,0.2,1.82,0.8646386528486915,10.0
FirstFitBatchDegree(size=10),2,500,100,0.2,1.625,0.7628073151196179,10.0
FirstFitBatchDegree(size=10),2,600,100,0.2,1.77,0.8983874442577656,10.0
FirstFitBatchDegree(size=10),2,700,100,0.2,2.0,1.0816653826391969,10.0
FirstFitBatchDegree(size=10),2,800,100,0.2,1.885,1.031637048578617,10.0
FirstFitBatchDegree(size=10),2,900,100,0.2,1.695,0.7996718076811261,10.0
FirstFitBatchDegree(size=10),2,1000,100,0.2,1.93,1.2510395677195825,10.0
FirstFitBatchDegree(size=10),3,50,100,0.2,2.07,0.577917718095655,10.0
FirstFitBatchDegree(size=10),3,100,100,0.2,2.586666666666667,0.8341595903795761,10.0
FirstFitBatchDegree(size=10),3,150,100,0.2,2.8766666666666665,0.944757464467292,10.0
FirstFitBatchDegree(size=10),3,200,100,0.2,3.143333333333333,1.26425647890151,10.0
FirstFitBatchDegree(size=10),3,300,100,0.2,3.243333333333333,1.4597221957923667,10.0
FirstFitBatchDegree(size=10),3,400,100,0.2,3.4266666666666667,1.55925908331133,10.0
FirstFitBatchDegree(size=10),3,500,100,0.2,3.736666666666667,1.708342276399356,10.0
FirstFitBatchDegree(size=10),3,600,100,0.2,3.8333333333333335,1.9180429841087736,10.0
FirstFitBatchDegree(size=10),3,700,100,0.2,3.4033333333333333,1.677494825294221,10.0
FirstFitBatchDegree(size=10),3,800,100,0.2,3.62,1.7732706755847762,10.0
FirstFitBatchDegree(size=10),3,900,100,0.2,3.816666666666667,1.9197077323847445,10.0
FirstFitBatchDegree(size=10),3,1000,100,0.2,3.983333333333333,2.246664193866097,10.0
FirstFitBatchDegree(size=10),4,50,100,0.2,2.0725,0.3378146681244022,10.0
FirstFitBatchDegree(size=10),4,100,100,0.2,2.7425,0.4942861013623588,10.0
FirstFitBatchDegree(size=10),4,150,100,0.2,3.42,0.6508456038109192,10.0
FirstFitBatchDegree(size=10),4,200,100,0.2,3.72,0.8575255098246349,10.0
FirstFitBatchDegree(size=10),4,300,100,0.2,4.6425,1.0435845677279825,10.0
FirstFitBatchDegree(size=10),4,400,100,0.2,4.6775,1.508018153073762,10.0
FirstFitBatchDegree(size=10),4,500,100,0.2,5.1125,1.6402648414204335,10.0
FirstFitBatchDegree(size=10),4,600,100,0.2,5.25,1.8428917493982115,10.0
FirstFitBatchDegree(size=10),4,700,100,0.2,5.515,1.8377363793536876,10.0
FirstFitBatchDegree(size=10),4,800,100,0.2,6.3225,2.0476495671867294,10.0
FirstFitBatchDegree(size=10),4,900,100,0.2,6.4525,2.0303001625375496,10.0
FirstFitBatchDegree(size=10),4,1000,100,0.2,5.8075,2.225380585428029,10.0
FirstFitBatchDegree(size=50),2,50,100,0.2,1.065,0.2080264406271472,50.0
FirstFitBatchDegree(size=50),2,100,100,0.2,1.165,0.3940494892776794,50.0
