Base,k,n,N,pVal,AvgCompetitiveRatio,StdDev,BatchSize
FirstFit,3,400,100,0.2,3.733333333333333,1.5951314818673863,
FirstFit,3,500,100,0.2,3.8733333333333335,1.8896090130559344,
FirstFit,3,600,100,0.2,3.973333333333333,1.8783444246936656,
FirstFit,3,700,100,0.2,3.716666666666667,1.974490088886524,
FirstFit,3,800,100,0.2,3.73,1.7642719619025735,
FirstFit,3,900,100,0.2,4.016666666666667,1.9022647321314432,
FirstFit,3,1000,100,0.2,3.6866666666666665,1.8955034511531053,
FirstFit,4,50,100,0.2,2.17,0.3159905061864992,
FirstFit,4,100,100,0.2,2.7125,0.5295930041078715,
FirstFit,4,150,100,0.2,3.375,0.6722164829874376,
FirstFit,4,200,100,0.2,3.73,1.017152889196113,
FirstFit,4,300,100,0.2,4.5925,1.1366920207338485,
FirstFit,4,400,100,0.2,4.755,1.471810110034579,
FirstFit,4,500,100,0.2,5.4575,1.619048717611672,
FirstFit,4,600,100,0.2,5.88,1.7619165701020012,
FirstFit,4,700,100,0.2,5.89,1.796635744941083,
FirstFit,4,800,100,0.2,5.855,1.9287884798494623,
FirstFit,4,900,100,0.2,5.8325,2.496010566884684,
FirstFit,4,1000,100,0.2,5.895,2.2531034152918945,
CBIP,2,50,100,0.2,1.465,0.3824591481452627,
CBIP,2,100,100,0.2,1.56,0.3760319135392633,
CBIP,2,150,100,0.2,1.56,0.3555277766926235,
CBIP,2,200,100,0.2,1.56,0.3891015291668744,
CBIP,2,300,100,0.2,1.545,0.3879110722833263,
CBIP,2,400,100,0.2,1.55,0.3708099243547831,
CBIP,2,500,100,0.2,1.585,0.3539420856580918,
CBIP,2,600,100,0.2,1.565,0.3511053972812152,
CBIP,2,700,100,0.2,1.635,0.3525265947414464,
CBIP,2,800,100,0.2,1.61,0.3433656942677879,
CBIP,2,900,100,0.2,1.535,0.3623189202898463,
CBIP,2,1000,100,0.2,1.55,0.3708099243547831,
FirstFit(HeuristicDegree),2,50,100,0.2,1.065,0.2080264406271472,
FirstFit(HeuristicDegree),2,100,100,0.2,1.11,0.2791057147390572,
FirstFit(HeuristicDegree),2,150,100,0.2,1.14,0.3746998799039039,
FirstFit(HeuristicDegree),2,200,100,0.2,1.115,0.3453621287865825,
FirstFit(HeuristicDegree),2,300,100,0.2,1.195,0.5093868863643822,
FirstFit(HeuristicDegree),2,400,100,0.2,1.15,0.3570714214271425,
FirstFit(HeuristicDegree),2,500,100,0.2,1.195,0.4893618293246828,
FirstFit(HeuristicDegree),2,600,100,0.2,1.195,0.5696270709859215,
FirstFit(HeuristicDegree),2,700,100,0.2,1.21,0.4592385001282013,
FirstFit(HeuristicDegree),2,800,100,0.2,1.205,0.4005933099790859,
FirstFit(HeuristicDegree),2,900,100,0.2,1.175,0.4322904116447645,
FirstFit(HeuristicDegree),2,1000,100,0.2,1.355,0.6530505340323979,
FirstFit(HeuristicDegree),3,50,100,0.2,1.3833333333333333,0.51720402163943,
FirstFit(HeuristicDegree),3,100,100,0.2,1.5166666666666666,0.6487166818676188,
FirstFit(HeuristicDegree),3,150,100,0.2,1.67,0.7637553418616607,
FirstFit(HeuristicDegree),3,200,100,0.2,1.5266666666666666,0.781991758979026,
FirstFit(HeuristicDegree),3,300,100,0.2,1.6033333333333333,0.796792179792057,
FirstFit(HeuristicDegree),3,400,100,0.2,1.7266666666666666,0.9926171915138732,
FirstFit(HeuristicDegree),3,500,100,0.2,1.88,1.048300211453443,
FirstFit(HeuristicDegree),3,600,100,0.2,1.8,1.0583005244258363,
FirstFit(HeuristicDegree),3,700,100,0.2,1.7033333333333334,0.9682687872922706,
FirstFit(HeuristicDegree),3,800,100,0.2,1.82,1.0396794377755738,
FirstFit(HeuristicDegree),3,900,100,0.2,1.9366666666666668,1.3422162435481269,
FirstFit(HeuristicDegree),3,1000,100,0.2,1.9933333333333332,1.2823416081528354,
FirstFit(HeuristicDegree),4,50,100,0.2,1.6175,0.3975786085794858,
FirstFit(HeuristicDegree),4,100,100,0.2,2.005,0.6470896383036897,
FirstFit(HeuristicDegree),4,150,100,0.2,2.2625,0.8384323168867002,
FirstFit(HeuristicDegree),4,200,100,0.2,2.4675,1.0633996191460668,
FirstFit(HeuristicDegree),4,300,100,0.2,2.73,1.1930423295088906,
FirstFit(HeuristicDegree),4,400,100,0.2,2.8375,1.3506364240608943,
FirstFit(HeuristicDegree),4,500,100,0.2,3.3,1.678541033159452,
FirstFit(HeuristicDegree),4,600,100,0.2,2.89,1.698278540169427,
FirstFit(HeuristicDegree),4,700,100,0.2,3.295,1.7016095321782845,
FirstFit(HeuristicDegree),4,800,100,0.2,3.59,1.8975378784098087,
FirstFit(HeuristicDegree),4,900,100,0.2,3.555,2.05960554475851,
FirstFit(HeuristicDegree),4,1000,100,0.2,3.4075,2.0293641245473912,
FirstFit,2,50,100,0.3,1.43,0.49,
FirstFit,2,100,100,0.3,1.61,0.7502666192761077,
